time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.0973414339,0.989298148,0.0,0.0337824067,0.606711703,0.0107124204,-4.10736875e-14
0.0978414339,0.982471326,0.0,0.0336178774,0.606098392,0.0105384421,-4.08918729e-14
0.0983414339,0.975709413,0.0,0.0334337969,0.605497936,0.0103659213,-4.06883223e-14
0.0988414339,0.96901176,0.0,0.0332732408,0.604883169,0.0101956005,-4.05106707e-14
0.0993414339,0.962377724,0.0,0.0330924495,0.604281505,0.0100266941,-4.03105019e-14
0.0996707169,0.958043224,0.0,0.0329930215,0.603871289,0.00991681416,-4.02003591e-14
0.1,0.953735856,0.0,0.0328715551,0.603476809,0.0098072533,-4.0065747e-14
0.100022873,0.953475661,0.114363843,0.0885790541,0.655012504,0.0655388897,4.28835258e-14
0.100068618,0.95303083,0.343091528,0.200078482,0.755738153,0.17706996,2.65250851e-12
0.100160109,0.952580455,0.800546898,0.423866992,0.927325024,0.400986516,2.11247316e-08
0.100343092,0.953116006,1.71545764,1.35456983,0.953422116,0.8577234,1.14718626e-08
0.100489565,0.954768161,2.44782586,2.07567554,0.954970275,1.22391224,1.77311493e-08
0.100630883,0.957375879,3.15441672,2.79926351,0.957638371,1.57720351,9.19068974e-09
0.100815442,0.962278105,4.07720836,3.70918617,0.962430576,2.03860391,1.51155287e-08
0.101,0.968872787,5.0,4.64704069,0.969110908,2.49999549,8.44329182e-09
0.101036912,0.970360201,5.0,4.68100936,0.970377721,2.50000003,2.27085664e-09
0.101110735,0.973333925,5.0,4.72316795,0.973336076,2.50000004,4.45155362e-10
0.101258382,0.979274779,5.0,4.7444472,0.979274376,2.50000003,1.95658858e-10
0.101553675,0.991130205,5.0,4.76403328,0.991129105,2.50000004,9.18663193e-11
0.102053675,1.01112456,5.0,4.78835568,1.01112343,2.50000003,3.59859404e-11
0.102553675,1.0310192,5.0,4.80793518,1.03101772,2.50000004,1.69676174e-11
0.103053675,1.05081461,5.0,4.82726146,1.05081347,2.50000003,8.11389994e-12
0.103553675,1.07051128,5.0,4.84571167,1.07050975,2.50000004,4.04043657e-12
0.104053675,1.09010973,5.0,4.86369043,1.09010856,2.50000003,2.07057866e-12
0.104553675,1.10961042,5.0,4.88136373,1.10960887,2.50000004,1.09039843e-12
0.105053675,1.12901385,5.0,4.89882888,1.12901269,2.50000003,5.90919331e-13
0.105553675,1.14832051,5.0,4.91613505,1.14831896,2.50000004,3.29821074e-13
0.106053675,1.16753087,5.0,4.93331025,1.16752971,2.50000003,1.88448326e-13
0.106553675,1.18664543,5.0,4.95036707,1.18664388,2.50000004,1.0776947e-13
0.107053675,1.20566464,5.0,4.96731461,1.20566349,2.50000003,5.80701499e-14
0.107553675,1.224589,5.0,4.98415529,1.22458747,2.50000004,2.42968396e-14
0.108053675,1.24341898,5.0,5.00089315,1.24341783,2.50000003,-1.23256955e-15
0.108553675,1.26215503,5.0,5.01752802,1.2621535,2.50000004,-2.24500622e-14
0.109053675,1.28079765,5.0,5.03406248,1.2807965,2.50000003,-4.13829346e-14
0.109553675,1.29934728,5.0,5.05049593,1.29934575,2.50000004,-5.90764494e-14
0.110053675,1.31780439,5.0,5.06683041,1.31780325,2.50000003,-7.60755665e-14
0.110553675,1.33616945,5.0,5.08306499,1.33616793,2.50000004,-9.26591414e-14
0.111053675,1.35444291,5.0,5.0992017,1.35444178,2.50000003,-1.08963434e-13
0.111553675,1.37262524,5.0,5.11523961,1.37262372,2.50000004,-1.25087626e-13
0.112053675,1.39071687,5.0,5.13118102,1.39071574,2.50000003,-1.41077978e-13
0.112553675,1.40871828,5.0,5.14702477,1.40871677,2.50000004,-1.56951583e-13
0.113053675,1.4266299,5.0,5.16277278,1.42662878,2.50000003,-1.7271885e-13
0.113553675,1.44445219,5.0,5.17842398,1.44445069,2.50000004,-1.8838303e-13
0.114053675,1.46218559,5.0,5.19398031,1.46218447,2.50000003,-2.03948446e-13
0.114553675,1.47983054,5.0,5.20944081,1.47982904,2.50000004,-2.19415489e-13
0.115053675,1.49738749,5.0,5.22480758,1.49738638,2.50000003,-2.34787109e-13
0.115553675,1.51485687,5.0,5.24007957,1.51485538,2.50000004,-2.50062757e-13
0.116053675,1.53223913,5.0,5.25525868,1.53223802,2.50000003,-2.6524469e-13
0.116553675,1.54953469,5.0,5.27034404,1.5495332,2.50000004,-2.8033227e-13
0.117053675,1.56674398,5.0,5.2853378,1.56674288,2.50000003,-2.95327787e-13
0.117553675,1.58386745,5.0,5.30023873,1.58386596,2.50000004,-3.10230139e-13
0.118053675,1.60090551,5.0,5.31504867,1.60090441,2.50000003,-3.25041236e-13
0.118553675,1.61785859,5.0,5.32976663,1.61785711,2.50000004,-3.39760141e-13
0.119053675,1.63472712,5.0,5.34439467,1.63472603,2.50000003,-3.54388973e-13
0.119553675,1.65151152,5.0,5.35893174,1.65151005,2.50000004,-3.68926706e-13
0.120053675,1.6682122,5.0,5.37337992,1.66821111,2.50000003,-3.83375447e-13
0.120553675,1.68482959,5.0,5.38773803,1.68482812,2.50000004,-3.9773404e-13
0.121053675,1.7013641,5.0,5.40200808,1.70136302,2.50000003,-4.12004502e-13
0.121553675,1.71781614,5.0,5.41618903,1.71781468,2.50000004,-4.26185805e-13
0.122053675,1.73418613,5.0,5.43028285,1.73418505,2.50000003,-4.40279927e-13
0.122553675,1.75047447,5.0,5.44428841,1.75047302,2.50000004,-4.54285763e-13
0.123053675,1.76668158,5.0,5.45820781,1.7666805,2.50000003,-4.68205392e-13
0.123553675,1.78280785,5.0,5.47204001,1.78280639,2.50000004,-4.82037801e-13
0.124053675,1.79885369,5.0,5.48578682,1.79885262,2.50000003,-4.95784791e-13
0.124553675,1.8148195,5.0,5.49944715,1.81481805,2.50000004,-5.09445281e-13
0.125053675,1.83070568,5.0,5.513023,1.83070461,2.50000003,-5.23021278e-13
0.125553675,1.84651263,5.0,5.52651344,1.84651118,2.50000004,-5.36511851e-13
0.126053675,1.86224074,5.0,5.53992035,1.86223967,2.50000003,-5.4991887e-13
0.126553675,1.8778904,5.0,5.55324249,1.87788896,2.50000004,-5.63241115e-13
0.127053675,1.89346202,5.0,5.56648204,1.89346096,2.50000003,-5.76480762e-13
0.127553675,1.90895596,5.0,5.57963794,1.90895453,2.50000004,-5.89636744e-13
0.128053675,1.92437264,5.0,5.59271203,1.92437158,2.50000003,-6.02710913e-13
0.128553675,1.93971242,5.0,5.60570314,1.93971099,2.50000004,-6.1570209e-13
0.129053675,1.95497569,5.0,5.61861316,1.95497464,2.50000003,-6.28612178e-13
0.129553675,1.97016284,5.0,5.63144114,1.97016141,2.50000004,-6.41440219e-13
