 time            time            v(N001)         v(N002)         v(N004)        
 2.44280000e-02  2.44280000e-02  4.91948759e+00  1.45605319e-157  1.45605319e-157 
 2.45280000e-02  2.45280000e-02  4.94513090e+00  4.05982587e-158  4.05982587e-158 
 2.46280000e-02  2.46280000e-02  4.96589396e+00  1.13197692e-158  1.13197692e-158 
 2.47280000e-02  2.47280000e-02  4.98175628e+00  3.15622341e-159  3.15622341e-159 
 2.48280000e-02  2.48280000e-02  4.99270222e+00  8.80030859e-160  8.80030859e-160 
 2.49280000e-02  2.49280000e-02  4.99872095e+00  2.45373731e-160  2.45373731e-160 
 2.50280000e-02  2.50280000e-02  4.99980656e+00  6.84160869e-161  6.84160869e-161 
 2.51280000e-02  2.51280000e-02  4.99595795e+00  1.90760475e-161  1.90760475e-161 
 2.52280000e-02  2.52280000e-02  4.98717895e+00  5.31886002e-162  5.31886002e-162 
 2.53280000e-02  2.53280000e-02  4.97347819e+00  1.48302587e-162  1.48302587e-162 
 2.54280000e-02  2.54280000e-02  4.95486922e+00  4.13503215e-163  4.13503215e-163 
 2.55280000e-02  2.55280000e-02  4.93137038e+00  1.15294624e-163  1.15294624e-163 
 2.56280000e-02  2.56280000e-02  4.90300488e+00  3.21469090e-164  3.21469090e-164 
 2.57280000e-02  2.57280000e-02  4.86980071e+00  8.96332999e-165  8.96332999e-165 
 2.58280000e-02  2.58280000e-02  4.83179063e+00  2.49919159e-165  2.49919159e-165 
 2.59280000e-02  2.59280000e-02  4.78901215e+00  6.96834614e-166  6.96834614e-166 
 2.60280000e-02  2.60280000e-02  4.74150750e+00  1.94294220e-166  1.94294220e-166 
 2.61280000e-02  2.61280000e-02  4.68932356e+00  5.41738930e-167  5.41738930e-167 
 2.62280000e-02  2.62280000e-02  4.63251182e+00  1.51049819e-167  1.51049819e-167 
 2.63280000e-02  2.63280000e-02  4.57112834e+00  4.21163160e-168  4.21163160e-168 
 2.64280000e-02  2.64280000e-02  4.50523372e+00  1.17430400e-168  1.17430400e-168 
 2.65280000e-02  2.65280000e-02  4.43489297e+00  3.27424147e-169  3.27424147e-169 
 2.66280000e-02  2.66280000e-02  4.36017552e+00  9.12937129e-170  9.12937129e-170 
 2.67280000e-02  2.67280000e-02  4.28115511e+00  2.54548789e-170  2.54548789e-170 
 2.68280000e-02  2.68280000e-02  4.19790971e+00  7.09743134e-171  7.09743134e-171 
 2.69280000e-02  2.69280000e-02  4.11052148e+00  1.97893425e-171  1.97893425e-171 
 2.70280000e-02  2.70280000e-02  4.01907666e+00  5.51774378e-172  5.51774378e-172 
 2.71280000e-02  2.71280000e-02  3.92366550e+00  1.53847943e-172  1.53847943e-172 
 2.72280000e-02  2.72280000e-02  3.82438215e+00  4.28965001e-173  4.28965001e-173 
 2.73280000e-02  2.73280000e-02  3.72132460e+00  1.19605741e-173  1.19605741e-173 
 2.74280000e-02  2.74280000e-02  3.61459456e+00  3.33489519e-174  3.33489519e-174 
 2.75280000e-02  2.75280000e-02  3.50429734e+00  9.29848842e-175  9.29848842e-175 
 2.76280000e-02  2.76280000e-02  3.39054181e+00  2.59264181e-175  2.59264181e-175 
 2.77280000e-02  2.77280000e-02  3.27344022e+00  7.22890778e-176  7.22890778e-176 
 2.78280000e-02  2.78280000e-02  3.15310814e+00  2.01559304e-176  2.01559304e-176 
 2.79280000e-02  2.79280000e-02  3.02966432e+00  5.61995728e-177  5.61995728e-177 
 2.80280000e-02  2.80280000e-02  2.90323059e+00  1.56697901e-177  1.56697901e-177 
 2.81280000e-02  2.81280000e-02  2.77393172e+00  4.36911368e-178  4.36911368e-178 
