time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.00016028,2.50385446e-15,-9.0,-8.99999801,-8.99999803,4.86449848e-06,-0.791169245,-0.120757492,0.00422634647,-6.74505393e-18
0.00016128,2.34026367e-15,-9.0,-8.99999801,-8.99999803,4.81644767e-06,-0.791169293,-0.120757591,0.00424304974,-6.67842899e-18
0.00016228,-4.67991724e-15,-9.0,-8.99999801,-8.99999803,4.76820676e-06,-0.791169341,-0.120757691,0.0042595855,-6.61154046e-18
0.00016328,1.86546545e-15,-9.0,-8.99999801,-8.99999803,4.7197777e-06,-0.791169389,-0.120757792,0.0042759531,-6.54439097e-18
0.00016428,2.93510965e-15,-9.0,-8.99999801,-8.99999803,4.67116238e-06,-0.791169438,-0.120757892,0.00429215189,-6.47698321e-18
0.00016528,-4.58286373e-15,-9.0,-8.99999801,-8.99999803,4.62236273e-06,-0.791169487,-0.120757993,0.00430818123,-6.40931984e-18
0.00016628,1.18182838e-15,-9.0,-8.99999801,-8.99999803,4.57338067e-06,-0.791169536,-0.120758095,0.0043240405,-6.34140349e-18
0.00016728,3.45898957e-15,-9.0,-8.99999801,-8.99999803,4.52421813e-06,-0.791169585,-0.120758197,0.00433972906,-6.27323687e-18
0.00016828,-4.3760301e-15,-9.0,-8.99999801,-8.99999803,4.47487708e-06,-0.791169634,-0.120758299,0.00435524629,-6.20482271e-18
0.00016928,4.69374791e-16,-9.0,-8.99999801,-8.99999803,4.42535942e-06,-0.791169684,-0.120758402,0.00437059159,-6.13616362e-18
0.00017028,3.89930381e-15,-9.0,-8.99999801,-8.99999803,4.37566716e-06,-0.791169733,-0.120758505,0.00438576434,-6.0672624e-18
0.00017128,-4.06439349e-15,-9.0,-8.99999801,-8.99999803,4.32580222e-06,-0.791169783,-0.120758608,0.00440076395,-5.99812173e-18
0.00017228,-2.54770841e-16,-9.0,-8.99999801,-8.99999803,4.2757666e-06,-0.791169833,-0.120758712,0.00441558983,-5.92874434e-18
0.00017328,4.24546198e-15,-9.0,-8.99999801,-8.99999803,4.22556225e-06,-0.791169883,-0.120758816,0.00443024139,-5.85913297e-18
0.00017428,-3.65545057e-15,-9.0,-8.99999801,-8.99999803,4.17519118e-06,-0.791169934,-0.12075892,0.00444471805,-5.7892904e-18
