time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
1.68903615,7.99999906,7.90566555,7.49962079,11.9920949,12.0,11.3025706,0.0149999151,7.55329579,1.66487469,-7.79951943,5.42395038e-05
1.68908615,7.99999906,7.90596269,7.49992184,11.9920953,12.0,11.3026069,0.0147927421,7.10725338,1.6540419,-7.74961341,5.42351929e-05
1.68913615,7.99999906,7.9062598,7.50022286,11.9920949,12.0,11.3025707,0.0143324116,6.68758328,1.64208483,-7.70121568,5.42308805e-05
1.68918615,7.99999906,7.90655689,7.50052386,11.9920953,12.0,11.3026069,0.0141645953,6.29272621,1.63141372,-7.65191363,5.422657e-05
1.68921425,7.99999906,7.90672383,7.50069299,11.9920949,12.0,11.3025708,0.0138649669,6.08121522,1.62452414,-7.62526788,5.42241465e-05
1.68923253,7.99999906,7.90683246,7.50080305,11.9920953,12.0,11.3026067,0.0138982646,5.94743229,1.62103367,-7.60700133,5.42225696e-05
1.68924316,7.99999906,7.90689556,7.50086698,11.9920949,12.0,11.302571,0.0137030304,5.87107422,1.61807284,-7.59734613,5.4221654e-05
1.68925475,7.99999906,7.90696443,7.50093675,11.9920953,12.0,11.3026064,0.0137758783,5.78885173,1.61608527,-7.58558307,5.4220655e-05
1.68926674,7.99999906,7.90703568,7.50100894,11.9920949,12.0,11.3025712,0.0135750856,5.70500245,1.61282875,-7.57463523,5.42196204e-05
1.6892693,7.99999906,7.90705086,7.50102432,11.9920953,12.0,11.3026062,8.39118244,5.70032735,10.6683588,1.48211112,5.42194004e-05
1.68927031,7.99999906,7.90705691,7.50103045,11.9920949,12.0,11.302573,9.29063636,5.70422738,10.6739905,1.48750638,5.42193129e-05
1.68927087,7.99999906,7.90706021,7.5010338,11.9920953,12.0,11.3026023,8.44972763,5.70637055,10.6685588,1.48194591,5.42192645e-05
1.68927141,7.99999906,7.90706339,7.50103702,11.992095,12.0,11.3025772,9.22412857,5.70841374,10.6738333,1.48709617,5.42192183e-05
1.68927248,7.99999906,7.90706976,7.50104346,11.9920952,12.0,11.3025996,8.50178621,5.71253008,10.6687651,1.48177959,5.42191261e-05
1.6892738,7.99999906,7.9070776,7.50105142,11.992095,12.0,11.3025786,9.20067808,5.71758293,10.674348,1.48705613,5.42190127e-05
1.68927602,7.99999906,7.9070908,7.50106479,11.9920952,12.0,11.3025987,8.52795347,5.72609699,10.6691758,1.48136864,5.42188214e-05
1.6892798,7.99999906,7.90711328,7.50108756,11.992095,12.0,11.3025791,9.20111939,5.74054346,10.6750229,1.48633862,5.42184947e-05
1.689287,7.99999906,7.90715606,7.50113091,11.9920952,12.0,11.3025984,8.5551488,5.76797677,10.6704228,1.48006957,5.42178737e-05
1.68930141,7.99999906,7.90724162,7.50121759,11.992095,12.0,11.3025792,9.23894669,5.82245627,10.6774616,1.48377343,5.42166317e-05
1.68933021,7.99999906,7.90741274,7.50139096,11.9920952,12.0,11.3025983,8.63777393,5.93002049,10.6753041,1.47495757,5.42141485e-05
1.68934534,7.99999906,7.90750264,7.50148204,11.992095,12.0,11.3025793,9.31907793,5.98576208,10.6824176,1.47857919,5.42128446e-05
1.6893589,7.99999906,7.90758316,7.50156362,11.9920952,12.0,11.3025983,8.69250658,6.03527549,10.6785376,1.47157494,5.42116763e-05
1.68937865,7.99999906,7.90770044,7.50168245,11.992095,12.0,11.3025794,9.37764564,6.10664648,10.6861651,1.47465766,5.42099732e-05
1.68939778,7.99999906,7.90781409,7.50179758,11.9920952,12.0,11.3025982,8.76390233,6.17500616,10.682908,1.46700361,5.42083245e-05
1.68943604,7.99999906,7.90804136,7.50202785,11.992095,12.0,11.3025794,9.47782639,6.30933361,10.6925943,1.46791616,5.4205027e-05
1.68948604,7.99999906,7.90833832,7.50232872,11.9920952,12.0,11.3025982,8.91720273,6.48022567,10.692769,1.45666674,5.42007166e-05
1.68953604,7.99999906,7.90863526,7.50262956,11.992095,12.0,11.3025794,9.64555482,6.64596811,10.7037191,1.4562383,5.41964068e-05
1.68958604,7.99999906,7.90893218,7.50293039,11.9920952,12.0,11.3025981,9.08105586,6.80675122,10.7038529,1.44503901,5.41920976e-05
1.68963604,7.99999906,7.90922908,7.50323119,11.992095,12.0,11.3025794,9.80332932,6.9626886,10.7147477,1.44464598,5.41877905e-05
1.68968604,7.99999906,7.90952595,7.50353197,11.9920952,12.0,11.3025981,9.235247,7.11396096,10.7148422,1.43349767,5.41834806e-05
1.68973604,7.99999906,7.9098228,7.50383273,11.992095,12.0,11.3025795,9.95173972,7.26067331,10.7256822,1.43313987,5.41791728e-05
1.68978604,7.99999906,7.91011963,7.50413347,11.9920952,12.0,11.3025981,9.38034771,7.40299753,10.7257376,1.4220422,5.41748661e-05
1.68983604,7.99999906,7.91041644,7.50443418,11.992095,12.0,11.3025795,10.0913399,7.54103055,10.7365233,1.42171944,5.41705578e-05
1.68988604,7.99999906,7.91071323,7.50473487,11.9920952,12.0,11.3025981,9.51689575,7.67493597,10.7365399,1.41067207,5.41662515e-05
1.68993604,7.99999906,7.91100999,7.50503555,11.992095,12.0,11.3025795,10.2226512,7.8048031,10.7472718,1.41038417,5.41619432e-05
1.68998604,7.99999906,7.91130673,7.50533619,11.9920952,12.0,11.302598,9.64539705,7.93078773,10.74725,1.39938675,5.41576384e-05
1.69003604,7.99999906,7.91160345,7.50563682,11.992095,12.0,11.3025795,10.3461637,8.05297202,10.7579285,1.39913352,5.41533309e-05
1.69008604,7.99999906,7.91190015,7.50593743,11.9920952,12.0,11.302598,9.76632761,8.17150443,10.7578687,1.38818572,5.41490263e-05
1.69013604,7.99999906,7.91219683,7.50623801,11.992095,12.0,11.3025796,10.462339,8.28646036,10.7684943,1.38796698,5.41447198e-05
1.69018604,7.99999906,7.91249348,7.50653857,11.9920952,12.0,11.302598,9.88013527,8.39798138,10.7683967,1.37706845,5.41404158e-05
1.69023604,7.99999906,7.91279012,7.50683911,11.992095,12.0,11.3025796,10.5716111,8.50613656,10.7789699,1.37688401,5.41361116e-05
1.69028604,7.99999906,7.91308673,7.50713963,11.9920952,12.0,11.302598,9.98724135,8.61106095,10.7788348,1.36603443,5.4131806e-05
1.69033604,7.99999906,7.91338332,7.50744013,11.992095,12.0,11.3025796,10.6743882,8.71281767,10.789356,1.3658841,5.41275017e-05
1.69038604,7.99999906,7.91367989,7.5077406,11.9920952,12.0,11.3025979,10.0880423,8.81153567,10.7891838,1.35508313,5.41231987e-05
1.69043604,7.99999906,7.91397643,7.50804106,11.992095,12.0,11.3025796,10.7710548,8.90727244,10.7996536,1.35496673,5.41188943e-05
1.69048604,7.99999906,7.91427296,7.50834149,11.9920952,12.0,11.3025979,10.182911,9.00015119,10.7994445,1.34421402,5.41145907e-05
1.69053604,7.99999906,7.91456946,7.5086419,11.992095,12.0,11.3025797,10.8619723,9.09022412,10.8098632,1.34413137,5.41102877e-05
1.69058604,7.99999906,7.91486594,7.50894229,11.9920952,12.0,11.3025979,10.2721984,9.17760903,10.8096177,1.3334266,5.41059865e-05
1.69063604,7.99999906,7.9151624,7.50924265,11.992095,12.0,11.3025797,10.9474808,9.26235318,10.8199858,1.3333775,5.41016845e-05
1.69068604,7.99999906,7.91545884,7.509543,11.9920952,12.0,11.3025979,10.3562347,9.34456925,10.819704,1.32272034,5.40973819e-05
1.69073604,7.99999906,7.91575525,7.50984332,11.992095,12.0,11.3025797,11.0279003,9.42429984,10.830022,1.32270461,5.40930808e-05
1.69078604,7.99999906,7.91605164,7.51014362,11.9920952,12.0,11.3025979,10.4353303,9.50165283,10.8297043,1.31209473,5.40887794e-05
1.69083604,7.99999906,7.91634802,7.5104439,11.992095,12.0,11.3025797,11.103532,9.57666644,10.8399725,1.31211218,5.40844775e-05
1.69088604,7.99999906,7.91664437,7.51074415,11.9920952,12.0,11.3025978,10.5097776,9.64944404,10.8396192,1.30154926,5.40801779e-05
1.69093604,7.99999906,7.91694069,7.51104439,11.992095,12.0,11.3025798,11.174659,9.7200197,10.8498382,1.3015997,5.40758782e-05
1.69098604,7.99999906,7.917237,7.5113446,11.9920952,12.0,11.3025978,10.5798515,9.78849256,10.8494496,1.2910834,5.40715767e-05
1.69103604,7.99999906,7.91753328,7.51164479,11.992095,12.0,11.3025798,11.2415479,9.85489281,10.8596197,1.29116665,5.40672777e-05
1.69108604,7.99999906,7.91782955,7.51194496,11.9920952,12.0,11.3025978,10.6458107,9.91931558,10.8591961,1.28069665,5.40629786e-05
1.69113604,7.99999906,7.91812579,7.51224511,11.992095,12.0,11.3025798,11.3044495,9.98178742,10.8693178,1.28081252,5.40586789e-05
1.69118604,7.99999906,7.91842201,7.51254524,11.9920952,12.0,11.3025978,10.7078984,10.0423997,10.8688595,1.27038851,5.4054381e-05
1.69123604,7.99999906,7.9187182,7.51284534,11.992095,12.0,11.3025798,11.3635996,10.1011755,10.8789332,1.2705368,5.40500829e-05
1.69128604,7.99999906,7.91901438,7.51314543,11.9920952,12.0,11.3025977,10.7663438,10.1582027,10.8784404,1.26015845,5.40457835e-05
1.69133604,7.99999906,7.91931053,7.51344549,11.992095,12.0,11.3025799,11.4192202,10.2135011,10.8884666,1.26033899,5.40414857e-05
1.69138604,7.99999906,7.91960666,7.51374553,11.9920952,12.0,11.3025977,10.8213621,10.2671553,10.8879397,1.25000598,5.40371887e-05
1.69143604,7.99999906,7.91990277,7.51404554,11.992095,12.0,11.3025799,11.4715202,10.319182,10.8979188,1.25021857,5.40328918e-05
1.69148604,7.99999906,7.92019886,7.51434554,11.9920952,12.0,11.3025977,10.8731562,10.3696627,10.8973579,1.23993058,5.40285953e-05
1.69153604,7.99999906,7.92049493,7.51464551,11.992095,12.0,11.3025799,11.5206961,10.4186113,10.9072903,1.24017505,5.40242987e-05
1.69158604,7.99999906,7.92079097,7.51494546,11.9920952,12.0,11.3025977,10.9219167,10.4661062,10.9066959,1.22993176,5.40200026e-05
1.69163604,7.99999906,7.921087,7.51524539,11.992095,12.0,11.3025799,11.5669326,10.5121588,10.9165819,1.23020791,5.40157071e-05
1.69168604,7.99999906,7.921383,7.5155453,11.9920952,12.0,11.3025976,10.9678229,10.5568446,10.9159542,1.22000902,5.4011411e-05
1.69173604,7.99999906,7.92167898,7.51584519,11.992095,12.0,11.3025799,11.6104038,10.6001724,10.9257944,1.22031666,5.40071168e-05
1.69178604,7.99999906,7.92197493,7.51614506,11.9920952,12.0,11.3025976,11.0110438,10.6422153,10.9251336,1.21016185,5.40028214e-05
