 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 1.75456550e-02  1.75456550e-02  1.80000000e+01  8.94340561e+00  8.94346003e+00  4.35763790e+00 -5.65881633e-02  3.28534493e-02  8.75919354e+00 -5.04122679e+00 -1.20819787e-02 
 1.75556550e-02  1.75556550e-02  1.80000000e+01  8.93147239e+00  8.93154777e+00  3.14733735e+00 -6.85214462e-02  2.10408821e-02  8.75033545e+00 -6.23730955e+00 -1.18444274e-02 
 1.75656550e-02  1.75656550e-02  1.80000000e+01  8.91980960e+00  8.91992816e+00  1.96129221e+00 -8.01843063e-02  9.51904857e-03  8.74267565e+00 -7.40618340e+00 -1.15391551e-02 
 1.75756550e-02  1.75756550e-02  1.80000000e+01  8.90846328e+00  8.91669890e+00  1.15968212e+00 -9.15307156e-02  6.36314673e-03  8.82504489e+00 -8.18822156e+00 -4.24744226e-03 
 1.75856550e-02  1.75856550e-02  1.80000000e+01  8.89747820e+00  8.92436138e+00  1.15639346e+00 -1.02515895e-01  1.40379844e-02  8.97070514e+00 -8.17106195e+00  4.41733873e-03 
 1.75956550e-02  1.75956550e-02  1.80000000e+01  8.88689771e+00  8.92047045e+00  1.15732967e+00 -1.13096491e-01  1.01408480e-02  8.89687164e+00 -8.14972772e+00 -3.82579153e-03 
 1.76056550e-02  1.76056550e-02  1.80000000e+01  8.87676357e+00  8.92240286e+00  1.15469792e+00 -1.23230747e-01  1.20765445e-02  8.93392842e+00 -8.13200828e+00  4.02320049e-03 
 1.76156550e-02  1.76156550e-02  1.80000000e+01  8.86711578e+00  8.92144220e+00  1.15523926e+00 -1.32878667e-01  1.11143198e-02  8.91564356e+00 -8.11116580e+00 -3.45675190e-03 
 1.76256550e-02  1.76256550e-02  1.80000000e+01  8.85799241e+00  8.92187814e+00  1.15287907e+00 -1.42002176e-01  1.15511723e-02  8.92431956e+00 -8.09327152e+00  3.67206122e-03 
 1.76356550e-02  1.76356550e-02  1.80000000e+01  8.84942946e+00  8.92167998e+00  1.15322881e+00 -1.50565267e-01  1.13526673e-02  8.92050525e+00 -8.07271703e+00 -3.12502960e-03 
 1.76456550e-02  1.76456550e-02  1.80000000e+01  8.84146074e+00  8.92172925e+00  1.15103039e+00 -1.58534146e-01  1.14022332e-02  8.92183171e+00 -8.05475727e+00  3.35463174e-03 
 1.76556550e-02  1.76556550e-02  1.80000000e+01  8.83411768e+00  8.92172559e+00  1.15125012e+00 -1.65877363e-01  1.13985438e-02  8.92172304e+00 -8.03442871e+00 -2.82447832e-03 
 1.76656550e-02  1.76656550e-02  1.80000000e+01  8.82742928e+00  8.92167875e+00  1.14917673e+00 -1.72565938e-01  1.13518339e-02  8.92120743e+00 -8.01643972e+00  3.06643974e-03 
 1.76756550e-02  1.76756550e-02  1.80000000e+01  8.82142192e+00  8.92172112e+00  1.14929013e+00 -1.78573474e-01  1.13942503e-02  8.92198914e+00 -7.99631295e+00 -2.55154468e-03 
 1.76856550e-02  1.76856550e-02  1.80000000e+01  8.81611931e+00  8.92165389e+00  1.14732494e+00 -1.83876262e-01  1.13271120e-02  8.92106821e+00 -7.97831112e+00  2.80446109e-03 
 1.76956550e-02  1.76956550e-02  1.80000000e+01  8.81154238e+00  8.92170379e+00  1.14734507e+00 -1.88453374e-01  1.13770868e-02  8.92200932e+00 -7.95837264e+00 -2.30353161e-03 
 1.77056550e-02  1.77056550e-02  1.80000000e+01  8.80770920e+00  8.92163561e+00  1.14547711e+00 -1.92286747e-01  1.13089782e-02  8.92105282e+00 -7.94036849e+00  2.56621953e-03 
 1.77156550e-02  1.77156550e-02  1.80000000e+01  8.80463489e+00  8.92168337e+00  1.14541361e+00 -1.95361252e-01  1.13568158e-02  8.92196834e+00 -7.92060821e+00 -2.07812687e-03 
 1.77256550e-02  1.77256550e-02  1.80000000e+01  8.80233158e+00  8.92161893e+00  1.14363403e+00 -1.97664756e-01  1.12924449e-02  8.92106684e+00 -7.90261012e+00  2.34953525e-03 
 1.77356550e-02  1.77356550e-02  1.80000000e+01  8.80080837e+00  8.92166238e+00  1.14349510e+00 -1.99188167e-01  1.13359790e-02  8.92191438e+00 -7.88301940e+00 -1.87326482e-03 
 1.77456550e-02  1.77456550e-02  1.80000000e+01  8.80007126e+00  8.92160255e+00  1.14179615e+00 -1.99925473e-01  1.12762210e-02  8.92108579e+00 -7.86503468e+00  2.15244514e-03 
 1.77556550e-02  1.77556550e-02  1.80000000e+01  8.80012317e+00  8.92164148e+00  1.14158906e+00 -1.99873765e-01  1.13152260e-02  8.92185979e+00 -7.84560579e+00 -1.68707694e-03 
 1.77656550e-02  1.77656550e-02  1.80000000e+01  8.80096389e+00  8.92158617e+00  1.13996379e+00 -1.99033246e-01  1.12599837e-02  8.92110351e+00 -7.82764093e+00  1.97316917e-03 
 1.77756550e-02  1.77756550e-02  1.80000000e+01  8.80259010e+00  8.92162081e+00  1.13969514e+00 -1.97407235e-01  1.12947118e-02  8.92180757e+00 -7.80836685e+00 -1.51786687e-03 
 1.77856550e-02  1.77856550e-02  1.80000000e+01  8.80499538e+00  8.92156969e+00  1.13813723e+00 -1.95002146e-01  1.12436622e-02  8.92111860e+00 -7.79042773e+00  1.81009023e-03 
 1.77956550e-02  1.77956550e-02  1.80000000e+01  8.80817025e+00  8.92160042e+00  1.13781299e+00 -1.91827474e-01  1.12744628e-02  8.92175828e+00 -7.77130204e+00 -1.36409288e-03 
 1.78056550e-02  1.78056550e-02  1.80000000e+01  8.81210217e+00  8.92155313e+00  1.13631671e+00 -1.87895746e-01  1.12272510e-02  8.92113094e+00 -7.75339394e+00  1.66173830e-03 
 1.78156550e-02  1.78156550e-02  1.80000000e+01  8.81677562e+00  8.92158028e+00  1.13594229e+00 -1.83222480e-01  1.12544733e-02  8.92171186e+00 -7.73441078e+00 -1.22435337e-03 
 1.78256550e-02  1.78256550e-02  1.80000000e+01  8.82217216e+00  8.92153650e+00  1.13450242e+00 -1.77826118e-01  1.12107603e-02  8.92114066e+00 -7.71653848e+00  1.52677690e-03 
 1.78356550e-02  1.78356550e-02  1.80000000e+01  8.82827050e+00  8.92156039e+00  1.13408278e+00 -1.71727957e-01  1.12347298e-02  8.92166811e+00 -7.69769248e+00 -1.09737402e-03 
 1.78456550e-02  1.78456550e-02  1.80000000e+01  8.83504656e+00  8.92151979e+00  1.13269458e+00 -1.64952065e-01  1.11942033e-02  8.92114800e+00 -7.67986028e+00  1.40399090e-03 
 1.78556550e-02  1.78556550e-02  1.80000000e+01  8.84247360e+00  8.92154073e+00  1.13223418e+00 -1.57525182e-01  1.12152183e-02  8.92162681e+00 -7.66114653e+00 -9.81996194e-04 
 1.78656550e-02  1.78656550e-02  1.80000000e+01  8.85052232e+00  8.92150303e+00  1.13089333e+00 -1.49476620e-01  1.11775931e-02  8.92115315e+00 -7.64335829e+00  1.29227544e-03 
 1.78756550e-02  1.78756550e-02  1.80000000e+01  8.85916094e+00  8.92152129e+00  1.13039625e+00 -1.40838141e-01  1.11959252e-02  8.92158776e+00 -7.62477228e+00 -8.77166425e-04 
 1.78856550e-02  1.78856550e-02  1.80000000e+01  8.86835538e+00  8.92148624e+00  1.12909884e+00 -1.31643839e-01  1.11609419e-02  8.92115634e+00 -7.60703151e+00  1.19062599e-03 
 1.78956550e-02  1.78956550e-02  1.80000000e+01  8.87806935e+00  8.92150206e+00  1.12856878e+00 -1.21929999e-01  1.11768382e-02  8.92155074e+00 -7.58856911e+00 -7.81926882e-04 
 1.79056550e-02  1.79056550e-02  1.80000000e+01  8.88826451e+00  8.92146941e+00  1.12731122e+00 -1.11734956e-01  1.11442606e-02  8.92115773e+00 -7.57087894e+00  1.09812918e-03 
 1.79156550e-02  1.79156550e-02  1.80000000e+01  8.89890062e+00  8.92148302e+00  1.12675156e+00 -1.01098947e-01  1.11579460e-02  8.92151559e+00 -7.55253635e+00 -6.95406680e-04 
 1.79256550e-02  1.79256550e-02  1.80000000e+01  8.90993572e+00  8.92145257e+00  1.12553061e+00 -9.00639465e-02  1.11275593e-02  8.92115751e+00 -7.53489960e+00  1.01395455e-03 
