time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.433208221,5.0,4.37592836,4.27432525,0.69789615,4.29463508,0.737137303,0.143138439
0.433208225,5.0,4.3745682,4.27435092,0.702020589,4.28888301,0.731385565,0.147262693
0.433208226,5.0,4.37415027,4.27435868,0.703266062,4.28706883,0.729571474,0.148508121
0.433208229,5.0,4.37311896,4.27437712,0.706225167,4.28249545,0.724998278,0.151467134
0.433208233,5.0,4.36854211,4.27445167,0.718166253,4.2603783,0.702881591,0.163408048
0.433208238,5.0,4.27758342,4.27538178,0.864303493,0.635651181,-2.92184434,0.309545537
0.433208241,5.0,4.27440405,4.27626125,0.997764105,0.155785239,-3.40170995,0.443007053
0.433208244,5.0,4.2744712,4.2754909,0.881106931,0.166530274,-3.39096471,0.326350767
0.433208247,5.0,4.27425215,4.27620808,0.989821179,0.131373954,-3.42612073,0.435066003
0.433208251,5.0,4.27432617,4.27553809,0.888351632,0.143287631,-3.41420674,0.333597766
0.433208257,5.0,4.27414719,4.27617668,0.985120027,0.114422413,-3.44307146,0.430367937
0.433208265,5.0,4.27421221,4.27556442,0.892383382,0.124931983,-3.43256123,0.337633875
0.433208279,5.0,4.27404325,4.27616672,0.983621827,0.0975688316,-3.45992325,0.428876445
0.433208303,5.0,4.27409638,4.27558057,0.894846584,0.106192439,-3.45129771,0.34010856
0.433208351,5.0,4.2739252,4.27617321,0.984572582,0.0783451067,-3.47914109,0.429849234
0.433208447,5.0,4.27398237,4.27559846,0.897541656,0.0876666106,-3.46981176,0.342847688
0.433208611,5.0,4.27384125,4.27618775,0.98666776,0.0646215286,-3.4928433,0.432024255
0.433208824,5.0,4.27393964,4.27560967,0.899141107,0.0807010788,-3.47674629,0.344562916
0.433209094,5.0,4.2738272,4.27618527,0.987115799,0.0623598704,-3.4950653,0.432620335
0.433209471,5.0,4.27393602,4.27560598,0.899349856,0.0801484555,-3.47724587,0.344969636
0.433210163,5.0,4.27382689,4.27618703,0.987069346,0.0623073408,-3.49503011,0.432901293
0.433211549,5.0,4.27393603,4.27561018,0.899347891,0.0801502639,-3.4770735,0.345604174
0.43321432,5.0,4.27382691,4.27619504,0.987007302,0.062310441,-3.4946859,0.434112091
0.433219861,5.0,4.27393604,4.27562639,0.899253082,0.0801518648,-3.47638972,0.348054388
0.433230945,5.0,4.27382695,4.27622733,0.986802782,0.062316345,-3.49331572,0.438994966
0.433253112,5.0,4.2739361,4.27569101,0.898851849,0.0801622434,-3.47365116,0.357817358
0.433297446,5.0,4.27382708,4.27635649,0.985998178,0.0623378873,-3.48783928,0.458476493
0.433386113,5.0,4.27393637,4.27594904,0.897250945,0.0802051227,-3.46270435,0.396620251
0.433563448,5.0,4.27382761,4.2768715,0.982821121,0.062424578,-3.46596819,0.535438222
0.433918119,5.0,4.27393744,4.27697449,0.890998269,0.0803810319,-3.41905326,0.548009751
0.43462746,5.0,4.27382983,4.27890599,0.970709026,0.0627877197,-3.37902776,0.828378756
0.43562746,5.0,4.27394121,4.28022099,0.872449601,0.0809973358,-3.28026068,0.995495714
0.43662746,5.0,4.27383547,4.28291819,0.95031922,0.0636758821,-3.21780423,1.3195472
0.43762746,5.0,4.27394658,4.28405617,0.85341478,0.0818726892,-3.12060161,1.45102731
0.43862746,5.0,4.27384102,4.286713,0.932658792,0.064618722,-3.05961466,1.7421542
0.43962746,5.0,4.27395271,4.28786691,0.836928342,0.0828725263,-2.96387784,1.84301215
0.44062746,5.0,4.27384785,4.29064211,0.917373902,0.06573605,-2.90428238,2.1058701
0.44162746,5.0,4.27395954,4.29166706,0.822648752,0.0839856162,-2.8100448,2.18041312
