 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)        
 6.89794738e-02  6.89794738e-02  5.00000000e+00  4.27401702e+00  4.39373364e+00  8.43322691e-01  9.33056936e-02 -2.61870199e-01  4.35785203e+00 
 6.99794738e-02  6.99794738e-02  5.00000000e+00  4.27406253e+00  4.36345177e+00  7.12259283e-01  1.00700989e-01 -2.03866916e-01  4.23332937e+00 
 7.09794738e-02  7.09794738e-02  5.00000000e+00  4.27401792e+00  4.39856754e+00  8.42908340e-01  9.34511412e-02 -1.60996521e-01  4.37022223e+00 
 7.19794738e-02  7.19794738e-02  5.00000000e+00  4.27406402e+00  4.36524679e+00  7.11733482e-01  1.00942277e-01 -1.03868732e-01  4.24490578e+00 
 7.29794738e-02  7.29794738e-02  5.00000000e+00  4.27401800e+00  4.40640620e+00  8.42678551e-01  9.34636751e-02 -6.21884370e-02  4.38157095e+00 
 7.39794738e-02  7.39794738e-02  5.00000000e+00  4.27406522e+00  4.36760319e+00  7.11276836e-01  1.01137011e-01 -5.83031597e-03  4.25556232e+00 
 7.49794738e-02  7.49794738e-02  5.00000000e+00  4.27401835e+00  4.41190836e+00  8.42390681e-01  9.35213225e-02  3.47699672e-02  4.39187983e+00 
 7.59794738e-02  7.59794738e-02  5.00000000e+00  4.27406673e+00  4.36762330e+00  7.10765489e-01  1.01382490e-01  9.03818254e-02  4.26508396e+00 
 7.69794738e-02  7.69794738e-02  5.00000000e+00  4.27401852e+00  4.41728038e+00  8.42145769e-01  9.35490629e-02  1.29839411e-01  4.40114033e+00 
 7.79794738e-02  7.79794738e-02  5.00000000e+00  4.27406731e+00  4.37116277e+00  7.10449828e-01  1.01475388e-01  1.84601103e-01  4.27391212e+00 
 7.89794738e-02  7.89794738e-02  5.00000000e+00  4.27401853e+00  4.42279306e+00  8.41938227e-01  9.35510190e-02  2.23061359e-01  4.40974635e+00 
 7.99794738e-02  7.99794738e-02  5.00000000e+00  4.27406816e+00  4.37282742e+00  7.10083330e-01  1.01614482e-01  2.77062300e-01  4.28198480e+00 
 8.09794738e-02  8.09794738e-02  5.00000000e+00  4.27401843e+00  4.42819371e+00  8.41758529e-01  9.35339765e-02  3.14477264e-01  4.41765453e+00 
 8.19794738e-02  8.19794738e-02  5.00000000e+00  4.27406891e+00  4.37442207e+00  7.09744124e-01  1.01735714e-01  3.67735946e-01  4.28940459e+00 
 8.29794738e-02  8.29794738e-02  5.00000000e+00  4.27401822e+00  4.43349499e+00  8.41603303e-01  9.35004993e-02  4.04124218e-01  4.42494957e+00 
 8.39794738e-02  8.39794738e-02  5.00000000e+00  4.27406966e+00  4.37595630e+00  7.09411284e-01  1.01856811e-01  4.56673554e-01  4.29621797e+00 
 8.49794738e-02  8.49794738e-02  5.00000000e+00  4.27401795e+00  4.43864128e+00  8.41465702e-01  9.34559054e-02  4.92040519e-01  4.43166842e+00 
 8.59794738e-02  8.59794738e-02  5.00000000e+00  4.27407337e+00  4.37720332e+00  7.08554333e-01  1.02460193e-01  5.44382680e-01  4.30148363e+00 
 8.69794738e-02  8.69794738e-02  5.00000000e+00  4.27401794e+00  4.44276337e+00  8.41278597e-01  9.34546053e-02  5.78296845e-01  4.43682672e+00 
 8.71044738e-02  8.71044738e-02  5.00000000e+00  4.27404927e+00  4.40087516e+00  7.74171552e-01  9.85463616e-02  5.88719772e-01  4.36988730e+00 
 8.73544738e-02  8.73544738e-02  5.00000000e+00  4.27405075e+00  4.40087420e+00  7.73891933e-01  9.87867778e-02  5.99608826e-01  4.36988518e+00 
 8.76343542e-02  8.76343542e-02  5.00000000e+00  4.27405410e+00  4.40063496e+00  7.73266776e-01  9.93318946e-02  6.12041796e-01  4.36935912e+00 
 8.79421963e-02  8.79421963e-02  5.00000000e+00  4.27406087e+00  4.39995666e+00  7.72109522e-01  1.00430447e-01  6.26172326e-01  4.36784922e+00 
 8.85578806e-02  8.85578806e-02  5.00000000e+00  4.27411815e+00  4.39463420e+00  7.64629915e-01  1.09721026e-01  6.61345913e-01  4.35519017e+00 
 8.85699925e-02  8.85699925e-02  5.00000000e+00  4.27412382e+00  4.39433499e+00  7.64061352e-01  1.10639865e-01  6.62771051e-01  4.35443199e+00 
 8.85730205e-02  8.85730205e-02  5.00000000e+00  4.27412557e+00  4.39424937e+00  7.63891626e-01  1.10922295e-01  6.63180039e-01  4.35421400e+00 
 8.85790765e-02  8.85790765e-02  5.00000000e+00  4.27412923e+00  4.39407215e+00  7.63538375e-01  1.11515493e-01  6.64026313e-01  4.35376243e+00 
 8.85911885e-02  8.85911885e-02  5.00000000e+00  4.27414490e+00  4.39344700e+00  7.62140498e-01  1.14052317e-01  6.67068940e-01  4.35215023e+00 
 8.85915670e-02  8.85915670e-02  5.00000000e+00  4.27421265e+00  4.39103337e+00  7.55698860e-01  1.25002417e-01  6.78034764e-01  4.34569731e+00 
 8.85923239e-02  8.85923239e-02  5.00000000e+00  4.27589002e+00  4.27393416e+00 -3.51014602e+00  3.87222032e-01  9.40155216e-01  7.98084568e-02 
 8.85927454e-02  8.85927454e-02  5.00000000e+00  4.27592023e+00  4.27387662e+00 -3.51951123e+00  3.91790871e-01  9.44594994e-01  7.04085406e-02 
 8.85931346e-02  8.85931346e-02  5.00000000e+00  4.27590325e+00  4.27388336e+00 -3.51837628e+00  3.89223540e-01  9.41908479e-01  7.15114210e-02 
 8.85935118e-02  8.85935118e-02  5.00000000e+00  4.27592071e+00  4.27388041e+00 -3.51882716e+00  3.91863048e-01  9.44432517e-01  7.10294664e-02 
 8.85939728e-02  8.85939728e-02  5.00000000e+00  4.27590472e+00  4.27388314e+00 -3.51834363e+00  3.89446802e-01  9.41875126e-01  7.14750171e-02 
 8.85948948e-02  8.85948948e-02  5.00000000e+00  4.27592339e+00  4.27388042e+00 -3.51871202e+00  3.92268821e-01  9.44414869e-01  7.10306707e-02 
 8.85967388e-02  8.85967388e-02  5.00000000e+00  4.27591010e+00  4.27388314e+00 -3.51811508e+00  3.90260410e-01  9.41841964e-01  7.14756895e-02 
 8.86004269e-02  8.86004269e-02  5.00000000e+00  4.27593414e+00  4.27388043e+00 -3.51825440e+00  3.93894785e-01  9.44347587e-01  7.10325424e-02 
 8.86078030e-02  8.86078030e-02  5.00000000e+00  4.27593162e+00  4.27388316e+00 -3.51720013e+00  3.93511689e-01  9.41707924e-01  7.14791907e-02 
 8.86225553e-02  8.86225553e-02  5.00000000e+00  4.27597715e+00  4.27388048e+00 -3.51642455e+00  4.00392594e-01  9.44079449e-01  7.10396686e-02 
 8.86520598e-02  8.86520598e-02  5.00000000e+00  4.27601761e+00  4.27388325e+00 -3.51354112e+00  4.06489406e-01  9.41172486e-01  7.14934043e-02 
 8.87110688e-02  8.87110688e-02  5.00000000e+00  4.27614903e+00  4.27388065e+00 -3.50910901e+00  4.26276069e-01  9.43011381e-01  7.10682038e-02 
 8.88290869e-02  8.88290869e-02  5.00000000e+00  4.27636087e+00  4.27388360e+00 -3.49892018e+00  4.57970228e-01  9.39047793e-01  7.15507751e-02 
