 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 6.08768467e-04  6.08768467e-04  1.80000000e+01  8.98737058e+00  8.98738312e+00  7.81398736e+00 -1.26288555e-02  7.65073371e-02  8.97200487e+00 -1.30837377e+00 -9.81570580e-04 
 6.18768467e-04  6.18768467e-04  1.80000000e+01  8.98642173e+00  8.98643533e+00  7.71502305e+00 -1.35777190e-02  7.55677440e-02  8.97177774e+00 -1.40393812e+00 -9.30733185e-04 
 6.28768467e-04  6.28768467e-04  1.80000000e+01  8.98552646e+00  8.98554108e+00  7.62109827e+00 -1.44729973e-02  7.46812778e-02  8.97166198e+00 -1.49423115e+00 -8.76217835e-04 
 6.38768467e-04  6.38768467e-04  1.80000000e+01  8.98468832e+00  8.98470390e+00  7.53258366e+00 -1.53111574e-02  7.38514365e-02  8.97165805e+00 -1.57889588e+00 -8.18236399e-04 
 6.48768467e-04  6.48768467e-04  1.80000000e+01  8.98391060e+00  8.98392708e+00  7.44982851e+00 -1.60888914e-02  7.30814945e-02  8.97176598e+00 -1.65759754e+00 -7.57021106e-04 
 6.58768467e-04  6.58768467e-04  1.80000000e+01  8.98319638e+00  8.98321370e+00  7.37315936e+00 -1.68031298e-02  7.23744901e-02  8.97198532e+00 -1.73002491e+00 -6.92810508e-04 
 6.68768467e-04  6.68768467e-04  1.80000000e+01  8.98254847e+00  8.98256656e+00  7.30287874e+00 -1.74510540e-02  7.17332127e-02  8.97231522e+00 -1.79589155e+00 -6.25861136e-04 
 6.78768467e-04  6.78768467e-04  1.80000000e+01  8.98196944e+00  8.98198823e+00  7.23926394e+00 -1.80301068e-02  7.11601924e-02  8.97275436e+00 -1.85493690e+00 -5.56434386e-04 
 6.88768467e-04  6.88768467e-04  1.80000000e+01  8.98146156e+00  8.98148097e+00  7.18256596e+00 -1.85380030e-02  7.06576901e-02  8.97330102e+00 -1.90692734e+00 -4.84807082e-04 
 6.98768467e-04  6.98768467e-04  1.80000000e+01  8.98102684e+00  8.98104681e+00  7.13300848e+00 -1.89727382e-02  7.02276881e-02  8.97395303e+00 -1.95165711e+00 -4.11259253e-04 
 7.08768467e-04  7.08768467e-04  1.80000000e+01  8.98066700e+00  8.98068743e+00  7.09078701e+00 -1.93325967e-02  6.98718827e-02  8.97470783e+00 -1.98894908e+00 -3.36083716e-04 
 7.18768467e-04  7.18768467e-04  1.80000000e+01  8.98038346e+00  8.98040428e+00  7.05606812e+00 -1.96161582e-02  6.95916775e-02  8.97556243e+00 -2.01865549e+00 -2.59574677e-04 
 7.28768467e-04  7.28768467e-04  1.80000000e+01  8.98017734e+00  8.98019845e+00  7.02898875e+00 -1.98223037e-02  6.93881778e-02  8.97651346e+00 -2.04065851e+00 -1.82036382e-04 
 7.38768467e-04  7.38768467e-04  1.80000000e+01  8.98004944e+00  8.98007077e+00  7.00965573e+00 -1.99502197e-02  6.92621862e-02  8.97755717e+00 -2.05487069e+00 -1.03772478e-04 
 7.48768467e-04  7.48768467e-04  1.80000000e+01  8.98000028e+00  8.98002174e+00  6.99814531e+00 -1.99994012e-02  6.92141997e-02  8.97868943e+00 -2.06123533e+00 -2.50939398e-05 
 7.58768467e-04  7.58768467e-04  1.80000000e+01  8.98003005e+00  8.98005154e+00  6.99450289e+00 -1.99696543e-02  6.92444073e-02  8.97990580e+00 -2.05972669e+00  5.36909549e-05 
 7.68768467e-04  7.68768467e-04  1.80000000e+01  8.98013862e+00  8.98016007e+00  6.99874282e+00 -1.98610962e-02  6.93526900e-02  8.98120146e+00 -2.05035010e+00  1.32269363e-04 
 7.78768467e-04  7.78768467e-04  1.80000000e+01  8.98032558e+00  8.98034689e+00  7.01084836e+00 -1.96741555e-02  6.95386202e-02  8.98257130e+00 -2.03314190e+00  2.10333269e-04 
 7.88768467e-04  7.88768467e-04  1.80000000e+01  8.98059019e+00  8.98061127e+00  7.03077176e+00 -1.94095699e-02  6.98014646e-02  8.98400992e+00 -2.00816936e+00  2.87572817e-04 
 7.98768467e-04  7.98768467e-04  1.80000000e+01  8.98093139e+00  8.98095216e+00  7.05843440e+00 -1.90683835e-02  7.01401862e-02  8.98551165e+00 -1.97553035e+00  3.63685120e-04 
 8.08768467e-04  8.08768467e-04  1.80000000e+01  8.98134785e+00  8.98136822e+00  7.09372715e+00 -1.86519430e-02  7.05534486e-02  8.98707056e+00 -1.93535300e+00  4.38368158e-04 
 8.18768467e-04  8.18768467e-04  1.80000000e+01  8.98183792e+00  8.98185781e+00  7.13651078e+00 -1.81618918e-02  7.10396214e-02  8.98868051e+00 -1.88779519e+00  5.11328951e-04 
 8.28768467e-04  8.28768467e-04  1.80000000e+01  8.98239967e+00  8.98241900e+00  7.18661650e+00 -1.76001639e-02  7.15967867e-02  8.99033513e+00 -1.83304389e+00  5.82278025e-04 
 8.38768467e-04  8.38768467e-04  1.80000000e+01  8.98303087e+00  8.98304957e+00  7.24384662e+00 -1.69689761e-02  7.22227461e-02  8.99202790e+00 -1.77131448e+00  6.50936945e-04 
 8.48768467e-04  8.48768467e-04  1.80000000e+01  8.98372905e+00  8.98374703e+00  7.30797536e+00 -1.62708196e-02  7.29150302e-02  8.99375214e+00 -1.70284987e+00  7.17033293e-04 
 8.58768467e-04  8.58768467e-04  1.80000000e+01  8.98449143e+00  8.98450863e+00  7.37874971e+00 -1.55084496e-02  7.36709074e-02  8.99550106e+00 -1.62791955e+00  7.80307637e-04 
 8.68768467e-04  8.68768467e-04  1.80000000e+01  8.98531502e+00  8.98533138e+00  7.45589042e+00 -1.46848748e-02  7.44873954e-02  8.99726773e+00 -1.54681853e+00  8.40508825e-04 
 8.78768467e-04  8.78768467e-04  1.80000000e+01  8.98619657e+00  8.98621201e+00  7.53909311e+00 -1.38033455e-02  7.53612726e-02  8.99904521e+00 -1.45986617e+00  8.97400553e-04 
 8.88768467e-04  8.88768467e-04  1.80000000e+01  8.98713258e+00  8.98714706e+00  7.62802949e+00 -1.28673408e-02  7.62890905e-02  9.00082646e+00 -1.36740494e+00  9.50756935e-04 
 8.98768467e-04  8.98768467e-04  1.80000000e+01  8.98811938e+00  8.98813284e+00  7.72234863e+00 -1.18805545e-02  7.72671882e-02  9.00260446e+00 -1.26979905e+00  1.00036850e-03 
 9.08768467e-04  9.08768467e-04  1.80000000e+01  8.98915307e+00  8.98916545e+00  7.82167832e+00 -1.08468811e-02  7.82917057e-02  9.00437218e+00 -1.16743305e+00  1.04603818e-03 
 9.18768467e-04  9.18768467e-04  1.80000000e+01  8.99022956e+00  8.99024083e+00  7.92562660e+00 -9.77039997e-03  7.93586001e-02  9.00612267e+00 -1.06071026e+00  1.08758671e-03 
 9.28768467e-04  9.28768467e-04  1.80000000e+01  8.99134461e+00  8.99135472e+00  8.03378326e+00 -8.65535957e-03  8.04636609e-02  9.00784899e+00 -9.50051215e-01  1.12484891e-03 
 9.38768467e-04  9.38768467e-04  1.80000000e+01  8.99249382e+00  8.99250273e+00  8.14572145e+00 -7.50616043e-03  8.16025269e-02  9.00954434e+00 -8.35892009e-01  1.15767861e-03 
 9.48768467e-04  9.48768467e-04  1.80000000e+01  8.99367265e+00  8.99368034e+00  8.26099940e+00 -6.32733789e-03  8.27707035e-02  9.01120202e+00 -7.18682556e-01  1.18594512e-03 
 9.58768467e-04  9.58768467e-04  1.80000000e+01  8.99487645e+00  8.99488289e+00  8.37916215e+00 -5.12354425e-03  8.39635800e-02  9.01281549e+00 -5.98884823e-01  1.20953768e-03 
 9.68768467e-04  9.68768467e-04  1.80000000e+01  8.99610046e+00  8.99610563e+00  8.49974334e+00 -3.89953031e-03  8.51764484e-02  9.01437839e+00 -4.76971007e-01  1.22836216e-03 
 9.78768467e-04  9.78768467e-04  1.80000000e+01  8.99733987e+00  8.99734375e+00  8.62226704e+00 -2.66012672e-03  8.64045215e-02  9.01588453e+00 -3.53421665e-01  1.24234502e-03 
 9.88768467e-04  9.88768467e-04  1.80000000e+01  8.99858977e+00  8.99859234e+00  8.74624967e+00 -1.41022481e-03  8.76429522e-02  9.01732798e+00 -2.28723822e-01  1.25143013e-03 
 9.98768467e-04  9.98768467e-04  1.80000000e+01  8.99984524e+00  8.99984650e+00  8.87120187e+00 -1.54757396e-04  8.88868524e-02  9.01870303e+00 -1.03369044e-01  1.25558238e-03 
 1.00876847e-03  1.00876847e-03  1.80000000e+01  9.00110132e+00  9.00110126e+00  8.99663044e+00  1.10132078e-03  9.01313122e-02  9.02000426e+00  2.21485031e-02  1.25478453e-03 
 1.01876847e-03  1.01876847e-03  1.80000000e+01  9.00235305e+00  9.00235167e+00  9.12204032e+00  2.35305254e-03  9.13714198e-02  9.02122654e+00  1.47334007e-01  1.24904042e-03 
 1.02876847e-03  1.02876847e-03  1.80000000e+01  9.00359549e+00  9.00359280e+00  9.24693649e+00  3.59549788e-03  9.26022802e-02  9.02236502e+00  2.71693960e-01  1.23837202e-03 
 1.03876847e-03  1.03876847e-03  1.80000000e+01  9.00482374e+00  9.00481975e+00  9.37082600e+00  4.82375343e-03  9.38190352e-02  9.02341524e+00  3.94738116e-01  1.22282209e-03 
 1.04876847e-03  1.04876847e-03  1.80000000e+01  9.00603296e+00  9.00602767e+00  9.49321982e+00  6.03297183e-03  9.50168823e-02  9.02437303e+00  5.15981418e-01  1.20245137e-03 
 1.05876847e-03  1.05876847e-03  1.80000000e+01  9.00721836e+00  9.00721180e+00  9.61363489e+00  7.21838085e-03  9.61910935e-02  9.02523462e+00  6.34945923e-01  1.17734094e-03 
 1.06876847e-03  1.06876847e-03  1.80000000e+01  9.00837527e+00  9.00836747e+00  9.73159591e+00  8.37530222e-03  9.73370343e-02  9.02599660e+00  7.51162686e-01  1.14758935e-03 
 1.07876847e-03  1.07876847e-03  1.80000000e+01  9.00949913e+00  9.00949011e+00  9.84663731e+00  9.49917009e-03  9.84501819e-02  9.02665598e+00  8.64173612e-01  1.11331466e-03 
 1.08876847e-03  1.08876847e-03  1.80000000e+01  9.01058550e+00  9.01057529e+00  9.95830504e+00  1.05855491e-02  9.95261429e-02  9.02721016e+00  9.73533267e-01  1.07465171e-03 
 1.09876847e-03  1.09876847e-03  1.80000000e+01  9.01163009e+00  9.01161873e+00  1.00661584e+01  1.16301517e-02  1.00560671e-01  9.02765693e+00  1.07881064e+00  1.03175367e-03 
 1.10876847e-03  1.10876847e-03  1.80000000e+01  9.01262878e+00  9.01261631e+00  1.01697717e+01  1.26288555e-02  1.01549683e-01  9.02799456e+00  1.17959083e+00  9.84789487e-04 
 1.11876847e-03  1.11876847e-03  1.80000000e+01  9.01357763e+00  9.01356410e+00  1.02687360e+01  1.35777190e-02  1.02489276e-01  9.02822170e+00  1.27547672e+00  9.33945070e-04 
 1.12876847e-03  1.12876847e-03  1.80000000e+01  9.01447290e+00  9.01445835e+00  1.03626608e+01  1.44729973e-02  1.03375742e-01  9.02833745e+00  1.36609048e+00  8.79420752e-04 
 1.13876847e-03  1.13876847e-03  1.80000000e+01  9.01531104e+00  9.01529553e+00  1.04511754e+01  1.53111574e-02  1.04205584e-01  9.02834138e+00  1.45107514e+00  8.21432243e-04 
 1.14876847e-03  1.14876847e-03  1.80000000e+01  9.01608876e+00  9.01607235e+00  1.05339305e+01  1.60888914e-02  1.04975526e-01  9.02823345e+00  1.53009594e+00  7.60208084e-04 
 1.15876847e-03  1.15876847e-03  1.80000000e+01  9.01680298e+00  9.01678573e+00  1.06105997e+01  1.68031298e-02  1.05682530e-01  9.02801411e+00  1.60284164e+00  6.95990381e-04 
 1.16876847e-03  1.16876847e-03  1.80000000e+01  9.01745089e+00  9.01743287e+00  1.06808803e+01  1.74510540e-02  1.06323808e-01  9.02768422e+00  1.66902581e+00  6.29032249e-04 
 1.17876847e-03  1.17876847e-03  1.80000000e+01  9.01802993e+00  9.01801121e+00  1.07444951e+01  1.80301068e-02  1.06896828e-01  9.02724507e+00  1.72838791e+00  5.59598346e-04 
 1.18876847e-03  1.18876847e-03  1.80000000e+01  9.01853780e+00  9.01851846e+00  1.08011931e+01  1.85380030e-02  1.07399331e-01  9.02669841e+00  1.78069431e+00  4.87962377e-04 
 1.19876847e-03  1.19876847e-03  1.80000000e+01  9.01897252e+00  9.01895263e+00  1.08507506e+01  1.89727382e-02  1.07829333e-01  9.02604640e+00  1.82573924e+00  4.14407358e-04 
 1.20876847e-03  1.20876847e-03  1.80000000e+01  9.01933236e+00  9.01931200e+00  1.08929721e+01  1.93325967e-02  1.08185138e-01  9.02529160e+00  1.86334559e+00  3.39223266e-04 
 1.21876847e-03  1.21876847e-03  1.80000000e+01  9.01961590e+00  9.01959515e+00  1.09276910e+01  1.96161582e-02  1.08465343e-01  9.02443700e+00  1.89336559e+00  2.62707012e-04 
