 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 6.52978191e-02  6.52978191e-02  0.00000000e+00  9.00000000e+00  7.31806559e+00  7.27674098e+00 -7.01775554e+00  1.54483496e+00  1.94799389e+00  9.27823265e-02  1.22834695e-02  1.52850188e-02 
 6.52978241e-02  6.52978241e-02  0.00000000e+00  9.00000000e+00  7.32045417e+00  7.27655342e+00 -7.02452848e+00  1.62605815e+00  2.02915687e+00  8.60076232e-02  1.21157363e-02  1.52990339e-02 
 6.52978314e-02  6.52978314e-02  0.00000000e+00  9.00000000e+00  7.31828192e+00  7.27634256e+00 -7.03214387e+00  1.55220461e+00  1.95521326e+00  7.83896733e-02  1.22682496e-02  1.53147936e-02 
 6.52978462e-02  6.52978462e-02  0.00000000e+00  9.00000000e+00  7.32043046e+00  7.27614224e+00 -7.03937788e+00  1.62525352e+00  2.02808229e+00  7.11505601e-02  1.21173977e-02  1.53297695e-02 
 6.52978740e-02  6.52978740e-02  0.00000000e+00  9.00000000e+00  7.31841732e+00  7.27594879e+00 -7.04636080e+00  1.55681570e+00  1.95930619e+00  6.41581283e-02  1.22587269e-02  1.53442357e-02 
 6.52979254e-02  6.52979254e-02  0.00000000e+00  9.00000000e+00  7.32050683e+00  7.27584462e+00 -7.05010926e+00  1.62784541e+00  2.02970922e+00  6.03920670e-02  1.21120456e-02  1.53520268e-02 
 6.52979873e-02  6.52979873e-02  0.00000000e+00  9.00000000e+00  7.31851172e+00  7.27579911e+00 -7.05173355e+00  1.56003031e+00  1.96113962e+00  5.87466144e-02  1.22520881e-02  1.53554308e-02 
 6.52980721e-02  6.52980721e-02  0.00000000e+00  9.00000000e+00  7.32055022e+00  7.27580123e+00 -7.05162788e+00  1.62943531e+00  2.02951264e+00  5.88233504e-02  1.21095903e-02  1.53552721e-02 
 6.52981827e-02  6.52981827e-02  0.00000000e+00  9.00000000e+00  7.31857822e+00  7.27578939e+00 -7.05201811e+00  1.56240381e+00  1.96113402e+00  5.83953339e-02  1.22479642e-02  1.53561576e-02 
 6.52983900e-02  6.52983900e-02  0.00000000e+00  9.00000000e+00  7.32063908e+00  7.27580055e+00 -7.05154386e+00  1.63245377e+00  2.02866019e+00  5.87987893e-02  1.21033821e-02  1.53553229e-02 
 6.52988046e-02  6.52988046e-02  0.00000000e+00  9.00000000e+00  7.31876528e+00  7.27578970e+00 -7.05179443e+00  1.56876029e+00  1.95992159e+00  5.84066091e-02  1.22347611e-02  1.53561343e-02 
 6.52996338e-02  6.52996338e-02  0.00000000e+00  9.00000000e+00  7.32100570e+00  7.27580084e+00 -7.05110851e+00  1.64490988e+00  2.02599186e+00  5.88093326e-02  1.20778149e-02  1.53553011e-02 
 6.53012922e-02  6.53012922e-02  0.00000000e+00  9.00000000e+00  7.31950109e+00  7.27579040e+00 -7.05091980e+00  1.59375155e+00  1.95471743e+00  5.84316480e-02  1.21829004e-02  1.53560825e-02 
 6.53046091e-02  6.53046091e-02  0.00000000e+00  9.00000000e+00  7.32247145e+00  7.27580218e+00 -7.04936084e+00  1.69465449e+00  2.01555876e+00  5.88578849e-02  1.19758581e-02  1.53552007e-02 
 6.53112427e-02  6.53112427e-02  0.00000000e+00  9.00000000e+00  7.32241731e+00  7.27579312e+00 -7.04742326e+00  1.69257119e+00  1.93402880e+00  5.85302734e-02  1.19783963e-02  1.53558784e-02 
 6.53245101e-02  6.53245101e-02  0.00000000e+00  9.00000000e+00  7.32823976e+00  7.27580771e+00 -7.04236654e+00  1.88951247e+00  1.97474587e+00  5.90575953e-02  1.15785849e-02  1.53547875e-02 
