 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 6.27500000e-02  6.27500000e-02  1.75842129e+00  0.00000000e+00  3.16764178e-02  5.83747881e-01  8.64387276e-03 -3.87379201e-14 
 6.32500000e-02  6.32500000e-02  1.74879296e+00  0.00000000e+00  3.16072263e-02  5.83469839e-01  8.57506837e-03 -3.86608572e-14 
 6.37500000e-02  6.37500000e-02  1.73921950e+00  0.00000000e+00  3.15384300e-02  5.83191771e-01  8.50666786e-03 -3.85842136e-14 
 6.42500000e-02  6.42500000e-02  1.72970057e+00  0.00000000e+00  3.14700434e-02  5.82913666e-01  8.43866900e-03 -3.85080059e-14 
 6.47500000e-02  6.47500000e-02  1.72023588e+00  0.00000000e+00  3.14020476e-02  5.82635522e-01  8.37106950e-03 -3.84322129e-14 
 6.52500000e-02  6.52500000e-02  1.71082512e+00  0.00000000e+00  3.13344570e-02  5.82357328e-01  8.30386717e-03 -3.83568514e-14 
 6.57500000e-02  6.57500000e-02  1.70146797e+00  0.00000000e+00  3.12672526e-02  5.82079082e-01  8.23705975e-03 -3.82819002e-14 
 6.62500000e-02  6.62500000e-02  1.69216412e+00  0.00000000e+00  3.12004492e-02  5.81800773e-01  8.17064508e-03 -3.82073763e-14 
 6.67500000e-02  6.67500000e-02  1.68291329e+00  0.00000000e+00  3.11340273e-02  5.81522398e-01  8.10462090e-03 -3.81332582e-14 
 6.72500000e-02  6.72500000e-02  1.67371515e+00  0.00000000e+00  3.10680021e-02  5.81243947e-01  8.03898510e-03 -3.80595633e-14 
 6.77500000e-02  6.77500000e-02  1.66456941e+00  0.00000000e+00  3.10023540e-02  5.80965417e-01  7.97373545e-03 -3.79862697e-14 
 6.82500000e-02  6.82500000e-02  1.65547577e+00  0.00000000e+00  3.09370985e-02  5.80686797e-01  7.90886984e-03 -3.79133952e-14 
 6.87500000e-02  6.87500000e-02  1.64643393e+00  0.00000000e+00  3.08722155e-02  5.80408085e-01  7.84438609e-03 -3.78409176e-14 
 6.92500000e-02  6.92500000e-02  1.63744360e+00  0.00000000e+00  3.08077209e-02  5.80129268e-01  7.78028210e-03 -3.77688550e-14 
 6.97500000e-02  6.97500000e-02  1.62850447e+00  0.00000000e+00  3.07435945e-02  5.79850346e-01  7.71655573e-03 -3.76971851e-14 
 7.02500000e-02  7.02500000e-02  1.61961627e+00  0.00000000e+00  3.06798524e-02  5.79571305e-01  7.65320491e-03 -3.76259261e-14 
 7.07500000e-02  7.07500000e-02  1.61077869e+00  0.00000000e+00  3.06164741e-02  5.79292145e-01  7.59022749e-03 -3.75550554e-14 
 7.12500000e-02  7.12500000e-02  1.60199145e+00  0.00000000e+00  3.05534761e-02  5.79012852e-01  7.52762146e-03 -3.74845917e-14 
 7.17500000e-02  7.17500000e-02  1.59325425e+00  0.00000000e+00  3.04908376e-02  5.78733426e-01  7.46538469e-03 -3.74145121e-14 
 7.22500000e-02  7.22500000e-02  1.58456682e+00  0.00000000e+00  3.04285752e-02  5.78453853e-01  7.40351518e-03 -3.73448355e-14 
 7.27500000e-02  7.27500000e-02  1.57592886e+00  0.00000000e+00  3.03666682e-02  5.78174132e-01  7.34201084e-03 -3.72755388e-14 
